iter	Passed	Remaining
686	114243	52049
687	114430	51892
688	114588	51722
689	114785	51570
690	114993	51422
691	115170	51260
692	115382	51114
693	115590	50966
694	115807	50821
695	116007	50669
696	116207	50517
697	116370	50349
698	116528	50178
699	116690	50010
700	116872	49850
701	117078	49700
702	117288	49551
703	117522	49413
704	117747	49270
705	117964	49123
706	118199	48985
707	118413	48837
708	118615	48684
709	118800	48524
710	119015	48376
711	119204	48217
712	119380	48053
713	119592	47904
714	119805	47754
715	120027	47608
716	120248	47462
717	120457	47310
718	120674	47161
719	120897	47015
720	121115	46867
721	121343	46722
722	121542	46566
723	121782	46425
724	121996	46274
725	122184	46113
726	122406	45965
727	122585	45801
728	122759	45634
729	122932	45468
730	123113	45304
731	123290	45139
732	123484	44980
733	123667	44816
734	123852	44654
735	124040	44492
736	124239	44335
737	124419	44170
738	124604	44007
739	124778	43840
740	124941	43670
741	125118	43504
742	125292	43338
743	125478	43175
744	125650	43008
745	125792	42830
746	125958	42660
747	126144	42497
748	126308	42327
749	126483	42161
750	126646	41990
751	126840	41830
752	127015	41663
753	127175	41492
754	127355	41327
755	127530	41160
756	127699	40991
757	127861	40821
758	128021	40649
759	128234	40495
760	128436	40336
761	128586	40162
762	128792	40005
763	128969	39838
764	129151	39673
765	129316	39503
766	129504	39341
767	129664	39169
768	129943	39033
769	130130	38870
770	130279	38695
771	130449	38526
772	130622	38358
773	130790	38189
774	131176	38083
775	131382	37924
776	131687	37794
777	131982	37660
778	132318	37538
779	132607	37401
780	132906	37268
781	133256	37148
782	133552	37012
783	133791	36860
784	134103	36728
785	134342	36576
786	134541	36413
787	134773	36258
788	134976	36096
789	135163	35929
790	135376	35769
791	135570	35604
792	135735	35431
793	135910	35261
794	136047	35081
795	136228	34912
796	136415	34745
797	136598	34577
798	136788	34411
799	136962	34240
800	137128	34068
801	137295	33895
802	137514	33736
803	137770	33585
804	137938	33413
805	138113	33243
806	138281	33070
807	138448	32898
808	138615	32726
809	138796	32557
810	138969	32386
811	139130	32212
812	139324	32046
813	139598	31898
814	139844	31743
815	140025	31574
816	140202	31404
817	140361	31229
818	140543	31060
819	140727	30891
820	140923	30725
821	141085	30551
822	141255	30379
823	141415	30205
824	141586	30033
825	141763	29863
826	141945	29693
827	142129	29524
828	142323	29357
829	142524	29191
830	142707	29022
831	142883	28851
832	143049	28678
833	143225	28507
834	143387	28334
835	143566	28163
836	143771	27998
837	144005	27838
838	144198	27671
839	144412	27507
840	144583	27335
841	144711	27154
842	144903	26986
843	145064	26812
844	145241	26641
845	145395	26466
846	145562	26294
847	145828	26139
848	146037	25973
849	146233	25805
850	146489	25648
851	146842	25507
852	147104	25351
853	147329	25187
854	147568	25026
855	147774	24859
856	148050	24703
857	148244	24534
858	148441	24365
859	148656	24199
860	148857	24031
861	149038	23859
862	149227	23689
863	149421	23520
864	149556	23341
865	149704	23164
866	149892	22993
867	150079	22823
868	150305	22658
869	150535	22493
870	150757	22328
871	150926	22154
872	151088	21979
873	151239	21803
874	151392	21627
875	151641	21465
876	151810	21291
877	151967	21116
878	152121	20940
879	152270	20764
880	152418	20587
